id,source_id,destination_id,timestamp,created_at,n_interpolation_points,step_distance_km,value
0,30,9,2025-01-14T21:46+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.22443598573092652
1,9,38,2025-01-16T18:16+00:00,2025-07-19T11:32:30+00:00,5,2345.471079985375,0.75
2,38,45,2025-01-16T23:44+00:00,2025-07-19T11:32:30+00:00,4,200.0,0.10156092789763664
3,45,33,2025-01-17T05:20+00:00,2025-07-19T11:32:30+00:00,5,200.0,0.11920292202211755
4,33,36,2025-01-17T07:15+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.10340045145824957
5,36,28,2025-01-17T08:28+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.08627419449591667
6,21,15,2025-01-09T20:38+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.08786391482930125
7,15,20,2025-01-09T21:57+00:00,2025-07-19T11:32:30+00:00,4,200.0,0.09112296101485612
8,20,60,2025-01-10T03:30+00:00,2025-07-19T11:32:30+00:00,5,200.0,0.5
9,60,14,2025-01-10T06:00+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.5
10,14,28,2025-01-13T04:51+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.16798161486607552
11,54,16,2025-01-11T04:19+00:00,2025-07-19T11:32:30+00:00,5,345.64812994681307,0.2573094546973142
12,16,20,2025-01-14T09:23+00:00,2025-07-19T11:32:30+00:00,2,1749.8916974753722,0.5049998333399998
13,20,60,2025-01-14T22:32+00:00,2025-07-19T11:32:30+00:00,5,200.0,0.5
14,60,14,2025-01-15T04:25+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.1443031340905187
15,14,28,2025-01-15T04:48+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.1443031340905187
16,54,37,2025-01-14T03:08+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.9415854444576037
17,37,16,2025-01-14T03:08+00:00,2025-07-19T11:32:30+00:00,5,328.9480959556589,0.9415854444576037
18,16,20,2025-01-14T11:07+00:00,2025-07-19T11:32:30+00:00,2,1749.8916974753722,0.48001065984441826
19,20,60,2025-01-14T22:21+00:00,2025-07-19T11:32:30+00:00,5,200.0,0.5
20,60,14,2025-01-15T04:25+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.1443031340905187
21,14,28,2025-01-15T06:02+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.1443031340905187
22,47,19,2025-01-13T23:40+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.00800223481421624
23,19,59,2025-01-14T00:15+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.009951801866904317
24,59,18,2025-01-14T03:41+00:00,2025-07-19T11:32:30+00:00,5,563.6990201145356,0.19781611144141822
25,18,10,2025-01-14T11:49+00:00,2025-07-19T11:32:30+00:00,2,1463.1842370643592,0.14679033980138237
26,10,24,2025-01-15T03:39+00:00,2025-07-19T11:32:30+00:00,5,200.0,0.1915453485614675
27,24,52,2025-01-15T08:04+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.14185106490048777
28,52,28,2025-01-15T08:17+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.14185106490048777
29,21,15,2025-01-13T21:21+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.03626371637464835
30,15,20,2025-01-13T22:32+00:00,2025-07-19T11:32:30+00:00,4,200.0,0.1150667320455498
31,20,60,2025-01-14T03:02+00:00,2025-07-19T11:32:30+00:00,5,200.0,0.17946151940732682
32,60,14,2025-01-14T04:44+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.1443031340905187
33,14,28,2025-01-14T05:09+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.12346704756522399
34,54,37,2025-01-16T18:09+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.05625293357316735
35,37,16,2025-01-17T03:36+00:00,2025-07-19T11:32:30+00:00,5,328.9480959556589,0.1443031340905187
36,16,20,2025-01-17T09:19+00:00,2025-07-19T11:32:30+00:00,2,1749.8916974753722,0.12131883789173684
37,20,60,2025-01-20T01:03+00:00,2025-07-19T11:32:30+00:00,5,200.0,0.5
38,60,14,2025-01-20T02:43+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.02711971720176304
39,14,28,2025-01-20T04:44+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.02711971720176304
40,12,19,2025-01-22T03:00+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.1570954688854527
41,19,18,2025-01-22T05:15+00:00,2025-07-19T11:32:30+00:00,5,562.3132630004995,0.7790261077798123
42,18,10,2025-01-22T10:08+00:00,2025-07-19T11:32:30+00:00,2,1463.1842370643592,0.44028635073280714
43,10,24,2025-01-23T03:41+00:00,2025-07-19T11:32:30+00:00,5,200.0,0.5
44,24,52,2025-01-23T06:24+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.5
45,52,28,2025-01-23T08:49+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.022753943462803985
46,54,37,2025-01-21T18:10+00:00,2025-07-19T11:32:30+00:00,2,200.0,0.8145725807070178
47,37,16,2025-01-22T05:28+00:00,2025-07-19T11:32:30+00:00,5,328.9480959556589,0.8320183851339245
48,16,20,2025-01-22T10:34+00:00,2025-07-19T11:32:30+00:00,2,1749.8916974753722,0.8455347349164652
49,20,60,2025-01-23T01:40+00:00,2025-07-19T11:32:30+00:00,5,200.0,0.5
50,60,14,2025-01-23T04:57+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.026596993576865856
51,14,28,2025-01-23T06:12+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.5
52,21,15,2025-01-22T02:17+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.06660803557509065
53,15,20,2025-01-22T22:02+00:00,2025-07-19T11:32:31+00:00,4,200.0,0.5
54,20,60,2025-01-23T00:40+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.5
55,60,14,2025-01-23T03:57+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.5
56,14,28,2025-01-23T06:07+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.5
57,4,45,2025-01-31T22:33+00:00,2025-07-19T11:32:31+00:00,4,200.0,0.10909682119561294
58,45,33,2025-02-03T00:28+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.13010847436299783
59,33,36,2025-02-03T04:35+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.0678622935769945
60,36,28,2025-02-03T08:05+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.04742587317756678
61,47,19,2025-01-24T23:07+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.0065611931340162225
62,19,18,2025-01-25T02:05+00:00,2025-07-19T11:32:31+00:00,5,562.3132630004995,0.2535060166623378
63,18,10,2025-01-25T11:17+00:00,2025-07-19T11:32:31+00:00,2,1463.1842370643592,0.19781611144141822
64,10,24,2025-01-26T01:45+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.5
65,24,52,2025-01-28T04:40+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.5
66,52,28,2025-01-28T08:32+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.5
67,22,45,2025-02-04T23:20+00:00,2025-07-19T11:32:31+00:00,4,200.0,0.14185106490048777
68,45,33,2025-02-05T03:53+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.1652048701906146
69,33,36,2025-02-05T06:13+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.09975048911968513
70,36,28,2025-02-05T08:05+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.08166025546159467
71,22,45,2025-02-05T23:01+00:00,2025-07-19T11:32:31+00:00,4,200.0,0.06537533342557263
72,45,33,2025-02-06T04:54+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.09796880429755393
73,33,36,2025-02-06T07:12+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.09975048911968513
