id,site_id,carrier_id,created_at,hours
1,1,2,2025-01-13 09:19:00+00:00,102.13333333333334
2,1,2,2025-01-14 08:42:00+00:00,13.45
3,3,2,2025-01-15 09:47:00+00:00,105.61666666666666
4,3,2,2025-01-15 09:47:00+00:00,40.65
5,4,3,2025-01-15 11:49:00+00:00,39.56666666666667
6,7,1,2025-01-17 10:40:00+00:00,73.4
7,3,2,2025-01-20 09:23:00+00:00,91.65
8,1,2,2025-01-23 08:59:00+00:00,38.21666666666667
9,3,2,2025-01-23 09:59:00+00:00,42.266666666666666
10,4,3,2025-01-23 13:30:00+00:00,34.7
11,4,3,2025-01-28 11:50:00+00:00,84.71666666666667
12,4,3,2025-01-29 11:03:00+00:00,38.166666666666664
13,11,4,2025-01-31 10:32:00+00:00,25.033333333333335
14,1,2,2025-02-03 09:50:00+00:00,62.78333333333333
15,14,4,2025-02-03 10:24:00+00:00,66.71666666666667
16,15,4,2025-02-04 10:37:00+00:00,17.166666666666668
17,15,4,2025-02-05 14:59:00+00:00,21.433333333333334
18,15,4,2025-02-06 10:47:00+00:00,17.25
19,9,1,2025-02-07 13:36:00+00:00,53.333333333333336
20,10,3,2025-02-10 09:19:00+00:00,119.18333333333334
21,4,3,2025-02-12 13:23:00+00:00,92.41666666666667
22,1,2,2025-02-13 08:58:00+00:00,14.383333333333333
23,16,4,2025-02-17 10:36:00+00:00,74.25
24,12,4,2025-02-17 11:36:00+00:00,169.11666666666667
25,7,3,2025-02-24 11:34:00+00:00,94.53333333333333
26,5,3,2025-02-25 13:12:00+00:00,112.61666666666666
27,16,4,2025-02-28 13:04:00+00:00,76.63333333333334
28,3,2,2025-03-03 10:03:00+00:00,67.2
29,3,2,2025-03-03 10:03:00+00:00,80.23333333333333
30,3,2,2025-03-06 09:29:00+00:00,69.7
31,17,4,2025-03-14 13:01:00+00:00,42.833333333333336
32,3,2,2025-03-17 09:15:00+00:00,63.0
33,19,1,2025-03-17 10:46:00+00:00,66.1
34,3,2,2025-03-19 09:11:00+00:00,40.666666666666664
35,8,1,2025-03-24 10:41:00+00:00,116.96666666666667
36,16,4,2025-03-24 10:41:00+00:00,97.83333333333333
37,13,3,2025-04-03 08:16:00+00:00,61.31666666666667
38,18,4,2025-04-04 09:18:00+00:00,49.8
39,3,2,2025-04-14 12:44:00+00:00,89.5
40,3,2,2025-04-17 08:31:00+00:00,45.38333333333333
41,6,4,2025-04-18 09:39:00+00:00,43.9
42,3,2,2025-04-30 12:08:00+00:00,43.25
43,3,2,2025-05-05 13:53:00+00:00,69.58333333333333
44,3,2,2025-05-09 09:04:00+00:00,42.7
45,3,2,2025-05-09 12:21:00+00:00,36.56666666666667
46,2,2,2025-05-09 12:21:00+00:00,29.9
47,3,2,2025-05-12 08:51:00+00:00,86.75
48,3,2,2025-05-12 13:21:00+00:00,95.41666666666667
49,3,2,2025-05-12 13:21:00+00:00,91.05
50,3,2,2025-05-12 13:21:00+00:00,91.06666666666666
51,3,2,2025-05-12 13:21:00+00:00,66.23333333333333
