source_id,destination_id
16,20
33,36
36,53
18,17
59,18
30,9
28,21
19,18
3,49
18,10
6,20
32,5
1,17
19,59
60,14
29,45
12,47
55,45
27,1
58,10
2,54
54,37
6,45
4,45
10,24
51,6
11,4
43,57
42,22
39,7
52,53
37,16
38,45
20,60
14,53
54,16
12,19
26,45
41,18
17,45
15,20
21,15
6,26
13,41
6,35
23,30
57,10
31,9
2,37
7,18
24,52
34,29
44,9
46,3
22,45
35,45
50,9
61,9
30,3
47,19
28,15
3,43
49,10
9,38
5,58
35,56
45,33
56,33
40,46
25,48
9,6
8,16
20,45
48,6
6,55
