id,source_id,destination_id,timestamp,created_at,n_interpolation_points,step_distance_km,value
0,27,39,2025-01-14T21:46+00:00,2025-07-25T07:16:47+00:00,2,200.0,0.22443598573092652
1,39,28,2025-01-16T18:16+00:00,2025-07-25T07:16:47+00:00,5,2345.471079985375,0.75
2,28,1,2025-01-16T23:44+00:00,2025-07-25T07:16:47+00:00,4,200.0,0.10156092789763664
3,1,34,2025-01-17T05:20+00:00,2025-07-25T07:16:47+00:00,5,200.0,0.11920292202211755
4,34,56,2025-01-17T07:15+00:00,2025-07-25T07:16:47+00:00,2,200.0,0.10340045145824957
5,56,6,2025-01-17T08:28+00:00,2025-07-25T07:16:47+00:00,2,200.0,0.08627419449591667
6,7,43,2025-01-09T20:38+00:00,2025-07-25T07:16:47+00:00,2,200.0,0.08786391482930125
7,43,35,2025-01-09T21:57+00:00,2025-07-25T07:16:47+00:00,4,200.0,0.09112296101485612
8,35,55,2025-01-10T03:30+00:00,2025-07-25T07:16:47+00:00,5,200.0,0.5
9,55,38,2025-01-10T06:00+00:00,2025-07-25T07:16:47+00:00,2,200.0,0.5
10,38,6,2025-01-13T04:51+00:00,2025-07-25T07:16:47+00:00,2,200.0,0.16798161486607552
11,19,50,2025-01-11T04:19+00:00,2025-07-25T07:16:47+00:00,5,345.64812994681307,0.2573094546973142
12,50,35,2025-01-14T09:23+00:00,2025-07-25T07:16:47+00:00,2,1749.8916974753722,0.5049998333399998
13,35,55,2025-01-14T22:32+00:00,2025-07-25T07:16:47+00:00,5,200.0,0.5
14,55,38,2025-01-15T04:25+00:00,2025-07-25T07:16:47+00:00,2,200.0,0.1443031340905187
15,38,6,2025-01-15T04:48+00:00,2025-07-25T07:16:47+00:00,2,200.0,0.1443031340905187
16,19,51,2025-01-14T03:08+00:00,2025-07-25T07:16:47+00:00,2,200.0,0.9415854444576037
17,51,50,2025-01-14T03:08+00:00,2025-07-25T07:16:47+00:00,5,328.9480959556589,0.9415854444576037
18,50,35,2025-01-14T11:07+00:00,2025-07-25T07:16:47+00:00,2,1749.8916974753722,0.48001065984441826
19,35,55,2025-01-14T22:21+00:00,2025-07-25T07:16:47+00:00,5,200.0,0.5
20,55,38,2025-01-15T04:25+00:00,2025-07-25T07:16:47+00:00,2,200.0,0.1443031340905187
21,38,6,2025-01-15T06:02+00:00,2025-07-25T07:16:47+00:00,2,200.0,0.1443031340905187
22,47,11,2025-01-13T23:40+00:00,2025-07-25T07:16:47+00:00,2,200.0,0.00800223481421624
23,11,12,2025-01-14T00:15+00:00,2025-07-25T07:16:47+00:00,2,200.0,0.009951801866904317
24,12,49,2025-01-14T03:41+00:00,2025-07-25T07:16:47+00:00,5,563.6990201145356,0.19781611144141822
