id,source_id,destination_id,created_at,hours
1,40,27,2025-07-25T07:16:46+00:00,8.4
2,27,39,2025-07-25T07:16:46+00:00,3.683333333333333
3,39,28,2025-07-25T07:16:46+00:00,18.966666666666665
4,28,1,2025-07-25T07:16:46+00:00,1.9833333333333332
5,1,34,2025-07-25T07:16:46+00:00,1.45
6,34,56,2025-07-25T07:16:46+00:00,0.7333333333333333
7,56,6,2025-07-25T07:16:46+00:00,2.2
8,32,7,2025-07-25T07:16:46+00:00,10.466666666666669
9,7,43,2025-07-25T07:16:46+00:00,2.1333333333333333
10,43,35,2025-07-25T07:16:46+00:00,1.2
11,35,55,2025-07-25T07:16:46+00:00,0.9333333333333332
12,55,38,2025-07-25T07:16:46+00:00,0.0833333333333333
13,38,6,2025-07-25T07:16:46+00:00,4.466666666666667
14,66,19,2025-07-25T07:16:46+00:00,2.833333333333333
15,19,50,2025-07-25T07:16:46+00:00,5.3
16,50,35,2025-07-25T07:16:46+00:00,7.766666666666667
17,35,55,2025-07-25T07:16:46+00:00,4.366666666666666
18,55,38,2025-07-25T07:16:46+00:00,0.0833333333333333
19,38,6,2025-07-25T07:16:46+00:00,4.983333333333333
20,66,19,2025-07-25T07:16:46+00:00,1.0333333333333334
21,19,51,2025-07-25T07:16:46+00:00,8.966666666666667
22,51,50,2025-07-25T07:16:46+00:00,3.0166666666666666
23,50,35,2025-07-25T07:16:46+00:00,7.65
24,35,55,2025-07-25T07:16:46+00:00,4.55
25,55,38,2025-07-25T07:16:46+00:00,0.0833333333333333
26,38,6,2025-07-25T07:16:46+00:00,3.75
27,47,11,2025-07-25T07:16:46+00:00,3.4166666666666665
28,11,12,2025-07-25T07:16:46+00:00,0.5833333333333334
29,12,49,2025-07-25T07:16:46+00:00,1.0833333333333333
30,49,5,2025-07-25T07:16:46+00:00,8.15
31,5,3,2025-07-25T07:16:46+00:00,1.1333333333333333
32,3,58,2025-07-25T07:16:46+00:00,2.966666666666667
33,58,6,2025-07-25T07:16:46+00:00,3.533333333333333
34,32,7,2025-07-25T07:16:46+00:00,0.5
35,7,43,2025-07-25T07:16:46+00:00,1.6
36,43,35,2025-07-25T07:16:46+00:00,0.2
37,35,55,2025-07-25T07:16:46+00:00,0.8333333333333334
38,55,38,2025-07-25T07:16:46+00:00,0.0666666666666666
39,38,6,2025-07-25T07:16:46+00:00,3.55
40,66,19,2025-07-25T07:16:46+00:00,4.416666666666667
41,19,51,2025-07-25T07:16:46+00:00,7.9
42,51,50,2025-07-25T07:16:46+00:00,3.1166666666666667
43,50,35,2025-07-25T07:16:46+00:00,7.8
44,35,55,2025-07-25T07:16:46+00:00,1.0833333333333333
45,55,38,2025-07-25T07:16:46+00:00,1.6166666666666667
46,38,6,2025-07-25T07:16:46+00:00,4.65
47,13,11,2025-07-25T07:16:46+00:00,0.2
48,11,49,2025-07-25T07:16:46+00:00,4.5
49,49,5,2025-07-25T07:16:46+00:00,7.7
50,5,3,2025-07-25T07:16:46+00:00,1.0666666666666669
51,3,58,2025-07-25T07:16:46+00:00,1.45
52,58,6,2025-07-25T07:16:46+00:00,4.683333333333334
53,66,19,2025-07-25T07:16:46+00:00,2.45
54,19,51,2025-07-25T07:16:46+00:00,8.266666666666667
55,51,50,2025-07-25T07:16:46+00:00,3.033333333333333
56,50,35,2025-07-25T07:16:46+00:00,7.1
57,35,55,2025-07-25T07:16:46+00:00,1.25
58,55,38,2025-07-25T07:16:46+00:00,0.0333333333333333
59,38,6,2025-07-25T07:16:46+00:00,3.783333333333333
60,32,7,2025-07-25T07:16:46+00:00,0.9833333333333332
61,7,43,2025-07-25T07:16:46+00:00,6.533333333333333
62,43,35,2025-07-25T07:16:46+00:00,0.3666666666666666
63,35,55,2025-07-25T07:16:46+00:00,1.25
64,55,38,2025-07-25T07:16:46+00:00,0.0333333333333333
65,38,6,2025-07-25T07:16:46+00:00,2.8666666666666667
66,14,25,2025-07-25T07:16:46+00:00,2.566666666666667
67,25,1,2025-07-25T07:16:46+00:00,1.4666666666666666
68,1,34,2025-07-25T07:16:46+00:00,1.7833333333333334
69,34,56,2025-07-25T07:16:46+00:00,0.85
70,56,6,2025-07-25T07:16:46+00:00,2.316666666666667
71,47,11,2025-07-25T07:16:46+00:00,0.55
72,11,49,2025-07-25T07:16:46+00:00,4.833333333333333
73,49,5,2025-07-25T07:16:46+00:00,7.816666666666666
74,5,3,2025-07-25T07:16:46+00:00,13.0
75,3,58,2025-07-25T07:16:46+00:00,3.216666666666667
76,58,6,2025-07-25T07:16:46+00:00,3.3
77,29,22,2025-07-25T07:16:46+00:00,3.0166666666666666
78,22,1,2025-07-25T07:16:46+00:00,1.9333333333333331
79,1,34,2025-07-25T07:16:46+00:00,1.5833333333333333
80,34,56,2025-07-25T07:16:46+00:00,0.9833333333333332
81,56,6,2025-07-25T07:16:46+00:00,6.9
